,ADS_Index
1960:03:01,-0.579788
1960:03:02,-0.626985
1960:03:03,-0.671207
1960:03:04,-0.712469
1960:03:05,-0.750784
1960:03:06,-0.786163
1960:03:07,-0.818617
1960:03:08,-0.848156
1960:03:09,-0.874791
1960:03:10,-0.898529
1960:03:11,-0.919377
1960:03:12,-0.937342
1960:03:13,-0.95243
1960:03:14,-0.964646
1960:03:15,-0.973993
1960:03:16,-0.980475
1960:03:17,-0.984092
1960:03:18,-0.984847
1960:03:19,-0.98274
1960:03:20,-0.97777
1960:03:21,-0.969935
1960:03:22,-0.959233
1960:03:23,-0.945661
1960:03:24,-0.929214
1960:03:25,-0.909887
1960:03:26,-0.887675
1960:03:27,-0.862569
1960:03:28,-0.834564
1960:03:29,-0.803648
1960:03:30,-0.769814
1960:03:31,-0.73305
1960:04:01,-0.693344
1960:04:02,-0.656905
1960:04:03,-0.623719
1960:04:04,-0.593778
1960:04:05,-0.567071
1960:04:06,-0.54359
1960:04:07,-0.523327
1960:04:08,-0.506278
1960:04:09,-0.492435
1960:04:10,-0.481795
1960:04:11,-0.474355
1960:04:12,-0.470111
1960:04:13,-0.469063
1960:04:14,-0.471211
1960:04:15,-0.476555
1960:04:16,-0.485097
1960:04:17,-0.496839
1960:04:18,-0.511785
1960:04:19,-0.52994
1960:04:20,-0.551309
1960:04:21,-0.5759
1960:04:22,-0.603719
1960:04:23,-0.634776
1960:04:24,-0.669081
1960:04:25,-0.706643
1960:04:26,-0.747476
1960:04:27,-0.791591
1960:04:28,-0.839002
1960:04:29,-0.889725
1960:04:30,-0.943775
1960:05:01,-1.00117
1960:05:02,-1.05643
1960:05:03,-1.10956
1960:05:04,-1.16059
1960:05:05,-1.20953
1960:05:06,-1.2564
1960:05:07,-1.30122
1960:05:08,-1.34398
1960:05:09,-1.38472
1960:05:10,-1.42344
1960:05:11,-1.46015
1960:05:12,-1.49487
1960:05:13,-1.52761
1960:05:14,-1.55837
1960:05:15,-1.58717
1960:05:16,-1.61401
1960:05:17,-1.63891
1960:05:18,-1.66187
1960:05:19,-1.68289
1960:05:20,-1.702
1960:05:21,-1.71918
1960:05:22,-1.73445
1960:05:23,-1.74782
1960:05:24,-1.75928
1960:05:25,-1.76883
1960:05:26,-1.7765
1960:05:27,-1.78226
1960:05:28,-1.78613
1960:05:29,-1.78811
1960:05:30,-1.7882
1960:05:31,-1.7864
1960:06:01,-1.7827
1960:06:02,-1.77818
1960:06:03,-1.77282
1960:06:04,-1.76664
1960:06:05,-1.75962
1960:06:06,-1.75177
1960:06:07,-1.74307
1960:06:08,-1.73354
1960:06:09,-1.72316
1960:06:10,-1.71193
1960:06:11,-1.69986
1960:06:12,-1.68693
1960:06:13,-1.67314
1960:06:14,-1.65849
1960:06:15,-1.64297
1960:06:16,-1.62658
1960:06:17,-1.60931
1960:06:18,-1.59115
1960:06:19,-1.57211
1960:06:20,-1.55218
1960:06:21,-1.53134
1960:06:22,-1.5096
1960:06:23,-1.48694
1960:06:24,-1.46336
1960:06:25,-1.43886
1960:06:26,-1.41341
1960:06:27,-1.38703
1960:06:28,-1.35969
1960:06:29,-1.33139
1960:06:30,-1.30211
1960:07:01,-1.27186
1960:07:02,-1.24251
1960:07:03,-1.21404
1960:07:04,-1.18645
1960:07:05,-1.15973
1960:07:06,-1.13387
1960:07:07,-1.10886
1960:07:08,-1.08469
1960:07:09,-1.06137
1960:07:10,-1.03887
1960:07:11,-1.01719
1960:07:12,-0.996334
1960:07:13,-0.976284
1960:07:14,-0.957037
1960:07:15,-0.938587
1960:07:16,-0.920928
1960:07:17,-0.904054
1960:07:18,-0.887961
1960:07:19,-0.872644
1960:07:20,-0.858097
1960:07:21,-0.844315
1960:07:22,-0.831296
1960:07:23,-0.819034
1960:07:24,-0.807526
1960:07:25,-0.796767
1960:07:26,-0.786756
1960:07:27,-0.777488
1960:07:28,-0.768961
1960:07:29,-0.761172
1960:07:30,-0.754119
1960:07:31,-0.747799
1960:08:01,-0.74221
1960:08:02,-0.737491
1960:08:03,-0.73364
1960:08:04,-0.730656
1960:08:05,-0.728538
1960:08:06,-0.727286
1960:08:07,-0.726898
1960:08:08,-0.727375
1960:08:09,-0.728717
1960:08:10,-0.730925
1960:08:11,-0.733998
1960:08:12,-0.737939
1960:08:13,-0.742748
1960:08:14,-0.748426
1960:08:15,-0.754976
1960:08:16,-0.7624
1960:08:17,-0.7707
1960:08:18,-0.779878
1960:08:19,-0.789938
1960:08:20,-0.800882
1960:08:21,-0.812715
1960:08:22,-0.825439
1960:08:23,-0.839059
1960:08:24,-0.853578
1960:08:25,-0.869002
1960:08:26,-0.885336
1960:08:27,-0.902584
1960:08:28,-0.920752
1960:08:29,-0.939845
1960:08:30,-0.95987
1960:08:31,-0.980833
1960:09:01,-1.00274
1960:09:02,-1.02351
1960:09:03,-1.04314
1960:09:04,-1.06165
1960:09:05,-1.07903
1960:09:06,-1.0953
1960:09:07,-1.11046
1960:09:08,-1.12452
1960:09:09,-1.13747
1960:09:10,-1.14932
1960:09:11,-1.16008
1960:09:12,-1.16975
1960:09:13,-1.17834
1960:09:14,-1.18584
1960:09:15,-1.19225
1960:09:16,-1.19759
1960:09:17,-1.20184
1960:09:18,-1.20502
1960:09:19,-1.20713
1960:09:20,-1.20815
1960:09:21,-1.20811
1960:09:22,-1.20698
1960:09:23,-1.20478
1960:09:24,-1.20151
1960:09:25,-1.19715
1960:09:26,-1.19172
1960:09:27,-1.18521
1960:09:28,-1.17762
1960:09:29,-1.16894
1960:09:30,-1.15917
1960:10:01,-1.14831
1960:10:02,-1.13923
1960:10:03,-1.13191
1960:10:04,-1.12637
1960:10:05,-1.12259
1960:10:06,-1.12058
1960:10:07,-1.12034
1960:10:08,-1.12186
1960:10:09,-1.12514
1960:10:10,-1.1302
1960:10:11,-1.13702
1960:10:12,-1.14561
1960:10:13,-1.15597
1960:10:14,-1.16812
1960:10:15,-1.18204
1960:10:16,-1.19774
1960:10:17,-1.21524
1960:10:18,-1.23453
1960:10:19,-1.25562
1960:10:20,-1.27852
1960:10:21,-1.30323
1960:10:22,-1.32977
1960:10:23,-1.35814
1960:10:24,-1.38834
1960:10:25,-1.4204
1960:10:26,-1.45432
1960:10:27,-1.4901
1960:10:28,-1.52777
1960:10:29,-1.56733
1960:10:30,-1.6088
1960:10:31,-1.65218
1960:11:01,-1.69749
1960:11:02,-1.74175
1960:11:03,-1.78495
1960:11:04,-1.82713
1960:11:05,-1.86828
1960:11:06,-1.90842
1960:11:07,-1.94757
1960:11:08,-1.98573
1960:11:09,-2.02293
1960:11:10,-2.05916
1960:11:11,-2.09445
1960:11:12,-2.1288
1960:11:13,-2.16222
1960:11:14,-2.19473
1960:11:15,-2.22633
1960:11:16,-2.25703
1960:11:17,-2.28685
1960:11:18,-2.3158
1960:11:19,-2.34387
1960:11:20,-2.37109
1960:11:21,-2.39745
1960:11:22,-2.42297
1960:11:23,-2.44766
1960:11:24,-2.47153
1960:11:25,-2.49457
1960:11:26,-2.5168
1960:11:27,-2.53823
1960:11:28,-2.55886
1960:11:29,-2.57869
1960:11:30,-2.59774
1960:12:01,-2.61602
1960:12:02,-2.63125
1960:12:03,-2.64346
1960:12:04,-2.65264
1960:12:05,-2.65879
1960:12:06,-2.66192
1960:12:07,-2.66203
1960:12:08,-2.65912
1960:12:09,-2.65318
1960:12:10,-2.64422
1960:12:11,-2.63223
1960:12:12,-2.61721
1960:12:13,-2.59916
1960:12:14,-2.57807
1960:12:15,-2.55392
1960:12:16,-2.52672
1960:12:17,-2.49646
1960:12:18,-2.46313
1960:12:19,-2.42671
1960:12:20,-2.38719
1960:12:21,-2.34457
1960:12:22,-2.29882
1960:12:23,-2.24994
1960:12:24,-2.19791
1960:12:25,-2.14271
1960:12:26,-2.08433
1960:12:27,-2.02275
1960:12:28,-1.95794
1960:12:29,-1.88989
1960:12:30,-1.81858
1960:12:31,-1.74398
1961:01:01,-1.66607
1961:01:02,-1.59119
1961:01:03,-1.51931
1961:01:04,-1.45042
1961:01:05,-1.38448
1961:01:06,-1.32148
1961:01:07,-1.2614
1961:01:08,-1.20421
1961:01:09,-1.14991
1961:01:10,-1.09848
1961:01:11,-1.04989
1961:01:12,-1.00414
1961:01:13,-0.9612
1961:01:14,-0.921071
1961:01:15,-0.883735
1961:01:16,-0.84918
1961:01:17,-0.817395
1961:01:18,-0.788371
1961:01:19,-0.762099
1961:01:20,-0.73857
1961:01:21,-0.717776
1961:01:22,-0.699712
1961:01:23,-0.684372
1961:01:24,-0.67175
1961:01:25,-0.661844
1961:01:26,-0.654649
1961:01:27,-0.650163
1961:01:28,-0.648386
1961:01:29,-0.649317
1961:01:30,-0.652955
1961:01:31,-0.659302
1961:02:01,-0.668361
1961:02:02,-0.675526
1961:02:03,-0.680801
1961:02:04,-0.684187
1961:02:05,-0.685685
1961:02:06,-0.685296
1961:02:07,-0.683019
1961:02:08,-0.678854
1961:02:09,-0.6728
1961:02:10,-0.664854
1961:02:11,-0.655014
1961:02:12,-0.643277
1961:02:13,-0.629639
1961:02:14,-0.614096
1961:02:15,-0.596644
1961:02:16,-0.577276
1961:02:17,-0.555986
1961:02:18,-0.532769
1961:02:19,-0.507616
1961:02:20,-0.480521
1961:02:21,-0.451473
1961:02:22,-0.420465
1961:02:23,-0.387486
1961:02:24,-0.352526
1961:02:25,-0.315575
1961:02:26,-0.27662
1961:02:27,-0.23565
1961:02:28,-0.192651
1961:03:01,-0.14761
1961:03:02,-0.103549
1961:03:03,-0.0604525
1961:03:04,-0.0183082
1961:03:05,0.0228975
1961:03:06,0.0631774
1961:03:07,0.102544
1961:03:08,0.14101
1961:03:09,0.178587
1961:03:10,0.215288
1961:03:11,0.251123
1961:03:12,0.286103
1961:03:13,0.32024
1961:03:14,0.353545
1961:03:15,0.386028
1961:03:16,0.417698
1961:03:17,0.448567
1961:03:18,0.478643
1961:03:19,0.507936
1961:03:20,0.536456
1961:03:21,0.56421
1961:03:22,0.591209
1961:03:23,0.617459
1961:03:24,0.642971
1961:03:25,0.667751
1961:03:26,0.691807
1961:03:27,0.715147
1961:03:28,0.737778
1961:03:29,0.759707
1961:03:30,0.780941
1961:03:31,0.801488
1961:04:01,0.821352
1961:04:02,0.841021
1961:04:03,0.860502
1961:04:04,0.8798
1961:04:05,0.898922
1961:04:06,0.917873
1961:04:07,0.93666
1961:04:08,0.955287
1961:04:09,0.973762
1961:04:10,0.99209
1961:04:11,1.01028
1961:04:12,1.02833
1961:04:13,1.04625
1961:04:14,1.06404
1961:04:15,1.08172
1961:04:16,1.09929
